testMap
map.png
500 500
0 0 FREE
1 0 FREE
2 0 FREE
3 0 FREE
4 0 ROAD_UP
5 0 ROAD_UP
6 0 FREE
7 0 FREE
8 0 FREE
9 0 FREE
0 1 FREE
1 1 FREE
2 1 FREE
3 1 FREE
4 1 ROAD_UP
5 1 ROAD_UP
6 1 FREE
7 1 FREE
8 1 FREE
9 1 FREE
0 2 FREE
1 2 FREE
2 2 FREE
3 2 FREE
4 2 ROAD_UP
5 2 ROAD_UP
6 2 FREE
7 2 FREE
8 2 FREE
9 2 FREE
0 3 FREE
1 3 FREE
2 3 FREE
3 3 FREE
4 3 ROAD_UP
5 3 ROAD_UP
6 3 FREE
7 3 FREE
8 3 FREE
9 3 FREE
0 4 FREE
1 4 FREE
2 4 FREE
3 4 FREE
4 4 ROAD_UP
5 4 ROAD_UP
6 4 FREE
7 4 FREE
8 4 FREE
9 4 FREE
0 5 FREE
1 5 FREE
2 5 FREE
3 5 FREE
4 5 ROAD_UP
5 5 ROAD_UP
6 5 FREE
7 5 FREE
8 5 FREE
9 5 FREE
0 6 FREE
1 6 FREE
2 6 FREE
3 6 FREE
4 6 ROAD_UP
5 6 ROAD_UP
6 6 FREE
7 6 FREE
8 6 FREE
9 6 FREE
0 7 FREE
1 7 FREE
2 7 FREE
3 7 FREE
4 7 ROAD_UP
5 7 ROAD_UP
6 7 FREE
7 7 FREE
8 7 FREE
9 7 FREE
0 8 FREE
1 8 FREE
2 8 FREE
3 8 FREE
4 8 ROAD_UP
5 8 ROAD_UP
6 8 FREE
7 8 FREE
8 8 FREE
9 8 FREE
0 9 FREE
1 9 FREE
2 9 FREE
3 9 FREE
4 9 ROAD_UP
5 9 ROAD_UP
6 9 FREE
7 9 FREE
8 9 FREE
9 9 FREE
